label,mode,vis,bs,cw,n,samples,total_steps,step_mean,step_median,step_p99,step_min,step_std,frame_mean,frame_median,frame_p99,frame_min,frame_std,fps,fps_low1,step_fps
coherent_vis1_bs128_cw2_n20000,coherent,1,128,2,20000,2800,3000,0.2551,0.1761,0.8569,0.1423,0.1631,1.1176,1.0131,2.5104,0.6616,0.3156,894.8067,366.8345,3920.4298
coherent_vis1_bs128_cw2_n50000,coherent,1,128,2,50000,2800,3000,0.2657,0.1915,0.7937,0.1546,0.1524,1.1181,1.0150,2.2586,0.7725,0.2845,894.3411,386.3033,3763.1359
coherent_vis1_bs128_cw2_n200000,coherent,1,128,2,200000,2800,3000,0.7262,0.6861,1.2280,0.4362,0.1431,1.5995,1.5025,2.9462,1.2758,0.2999,625.2063,319.2677,1377.1011
coherent_vis1_bs128_cw2_n1000000,coherent,1,128,2,1000000,2800,3000,4.1010,4.2301,4.8056,3.3311,0.3225,5.1043,5.1201,5.8480,4.3346,0.3004,195.9138,158.0283,243.8409
naive_vis1_bs128_cw2_n5000,naive,1,128,2,5000,2800,3000,0.5488,0.5478,0.5540,0.5448,0.0040,1.4699,1.3830,2.8716,1.1653,0.2855,680.2966,330.5032,1822.2439
naive_vis1_bs128_cw2_n20000,naive,1,128,2,20000,2800,3000,2.4795,2.2385,3.1539,2.2241,0.2992,3.3490,3.3359,4.2804,2.8127,0.3524,298.5963,202.9377,403.3141
naive_vis1_bs128_cw2_n50000,naive,1,128,2,50000,800,1000,7.8773,7.6739,9.1392,7.0779,0.6483,8.8901,8.7657,10.3557,7.8354,0.6254,112.4851,95.5097,126.9471
naive_vis1_bs128_cw2_n200000,naive,1,128,2,200000,100,300,106.2251,106.3004,108.0449,104.7337,0.7949,107.3623,107.3837,108.9731,105.7044,0.7947,9.3143,9.0667,9.4140
scattered_vis1_bs128_cw2_n5000,scattered,1,128,2,5000,2800,3000,0.2007,0.1792,0.5489,0.1300,0.0905,1.0420,0.9671,2.1175,0.7257,0.2286,959.7304,417.8855,4981.7898
scattered_vis1_bs128_cw2_n20000,scattered,1,128,2,20000,2800,3000,0.3045,0.2427,0.7875,0.1751,0.1451,1.1377,1.0444,1.8977,0.8371,0.2572,878.9608,419.3224,3284.4806
scattered_vis1_bs128_cw2_n50000,scattered,1,128,2,50000,2800,3000,0.3740,0.3062,0.8777,0.2314,0.1470,1.2350,1.1473,2.4183,0.9045,0.2845,809.7152,365.3793,2674.1282
scattered_vis1_bs128_cw2_n200000,scattered,1,128,2,200000,2800,3000,1.8122,1.6845,2.3839,1.3363,0.2599,2.6847,2.6010,3.9815,2.2357,0.3358,372.4764,234.0272,551.8060
scattered_vis1_bs128_cw2_n1000000,scattered,1,128,2,1000000,2800,3000,119.9199,119.7803,122.7544,117.8532,2.5111,121.2116,121.0545,124.1183,119.1624,2.5396,8.2500,7.2661,8.3389
