# label=coherent_vis0_bs128_cw1_n50000,mode=coherent,N=50000,vis=0,steps=3000,dt=0.2
step,step_ms,frame_ms
0,1.2238,1.6524
1,0.9155,4.0932
2,0.3953,2.9044
3,0.4710,1.9951
4,0.4014,1.0548
5,0.4915,1.1340
6,0.5120,0.9522
7,0.8612,1.5328
8,0.8940,1.2814
9,0.6400,1.5474
10,0.4895,1.0972
11,0.4557,1.0332
12,0.8980,0.8760
13,0.3400,1.4245
14,0.3400,1.9346
15,0.4598,1.6833
16,0.3830,0.9758
17,0.3451,0.9153
18,0.4045,1.1369
19,0.3697,0.8457
20,0.4403,0.8639
21,0.8438,1.2198
22,0.7485,1.3345
23,0.5857,2.6181
24,0.4915,0.9992
25,0.5007,0.9617
26,0.3625,1.2528
27,0.4772,1.5703
28,0.4434,0.8991
29,0.4352,0.9222
30,0.3359,0.8891
31,0.9697,1.1546
32,0.5724,1.5582
33,0.5304,1.0259
34,0.4178,1.0671
35,0.8827,0.8161
36,0.6205,1.3774
37,0.5222,2.3433
38,0.5550,0.9782
39,0.4342,1.0100
40,1.1346,1.0009
41,0.5622,1.7528
42,0.4239,1.0458
43,0.6943,0.9243
44,0.5222,1.0789
45,0.3482,1.0706
46,0.5724,1.2521
47,0.4833,1.0767
48,0.5140,0.9231
49,0.4956,0.9147
50,0.8909,1.1356
51,0.5775,2.5958
52,0.4516,0.9367
53,0.4895,0.9162
54,0.7946,1.1260
55,0.5468,1.6521
56,0.5612,1.2326
57,0.7332,0.9541
58,1.2933,1.2286
59,0.4209,1.7638
60,0.5079,1.5624
61,0.7741,1.0272
62,0.6461,1.2396
63,0.4731,1.2065
64,0.5100,0.9727
65,0.4413,0.8776
66,0.9411,0.9510
67,0.7997,1.4804
68,0.3359,1.2722
69,0.4301,1.1535
70,0.3441,0.8679
71,0.6359,0.9397
72,0.6175,0.9849
73,0.8950,1.1070
74,0.4833,2.2096
75,0.5038,1.0002
76,0.4332,1.3195
77,0.4024,0.9020
78,0.6093,1.2574
79,0.5652,1.1409
80,0.4956,1.0296
81,0.5069,1.1839
82,0.6810,0.9831
83,0.3000,2.2194
84,0.4598,1.0004
85,0.4977,1.2507
86,0.3359,1.0152
87,0.5622,1.0293
88,0.4700,0.9410
89,0.6482,0.9700
90,0.5458,1.1370
91,0.7168,1.2638
92,0.6472,1.2627
93,0.5868,1.1467
94,0.5489,1.0211
95,0.7096,1.3212
96,0.9964,1.2300
97,0.5018,2.3822
98,0.7352,1.1733
99,0.7424,1.1576
100,0.7301,1.2813
101,0.4833,1.1535
102,0.4311,0.9600
103,0.7700,0.9535
104,0.6062,1.1998
105,0.6922,1.1583
106,0.3850,1.9390
107,0.4086,0.8503
108,0.3482,0.8261
109,0.3154,1.0214
110,0.4434,1.4444
111,0.3267,0.8276
112,0.3727,0.7861
113,0.3850,0.8374
114,0.6185,0.8243
115,0.7209,1.2442
116,0.5622,2.4011
117,0.4116,0.9972
118,0.3553,0.9230
119,0.3553,0.9783
120,0.5581,1.1379
121,0.4229,1.0601
122,0.4977,0.8464
123,0.6267,0.9451
124,0.7250,1.1157
125,0.3308,1.2091
126,0.5386,1.2379
127,0.5878,0.9308
128,0.7025,1.0699
129,0.7895,1.1851
130,0.3348,1.2839
131,0.3625,1.6238
132,0.4014,1.2826
133,0.5806,1.0371
134,0.3615,0.9428
135,0.4004,1.0374
136,0.5898,0.9336
137,0.5929,1.0283
138,0.8550,1.0914
139,1.0127,1.4555
140,0.5356,2.5162
141,0.7762,1.0186
142,0.8192,1.2852
143,0.5253,1.3679
144,0.5233,1.0062
145,0.5612,1.0173
146,0.5970,1.0636
147,0.4342,1.1366
148,0.3994,0.8603
149,0.5960,1.2991
150,0.5724,1.0151
151,0.7772,1.0672
