# label=scattered_vis1_bs128_cw2_n20000,mode=scattered,N=20000,vis=1,steps=3000,dt=0.2
step,step_ms,frame_ms
0,1.7572,1.2566
1,0.1608,5.2289
2,0.1434,144.1091
3,0.3174,0.6808
4,0.5560,1.3130
5,0.1628,2.4908
6,0.1577,1.2472
7,0.1526,1.0495
8,0.1690,1.1298
9,0.1853,1.2506
10,0.1843,1.0984
11,0.2621,0.9785
12,0.8571,1.2650
13,0.1874,2.5359
14,0.1587,1.7773
15,0.5652,1.0371
16,0.1761,1.4259
17,0.4321,1.0339
18,0.1618,1.2950
19,0.3533,1.1334
20,0.7148,1.1900
21,0.3799,1.7005
22,0.3871,1.1966
23,0.6666,1.2970
24,0.6697,1.5687
25,0.1731,2.7356
26,0.4239,1.0057
27,0.2017,1.4926
28,0.2150,1.9218
29,0.1772,1.3259
30,0.1843,0.8497
31,0.1864,0.8821
32,0.6892,1.0257
33,0.1812,2.3061
34,0.1843,0.8834
35,0.3686,0.8977
36,0.3348,1.1279
37,0.1608,1.4607
38,0.1597,0.9825
39,0.1505,0.9098
40,0.1802,0.9516
41,0.1812,0.8905
42,0.1741,1.3197
43,0.1864,1.1166
44,0.1485,0.9152
45,0.1608,0.8909
46,0.1884,0.8937
47,0.5806,1.5124
48,0.3697,2.1382
49,0.6584,1.3104
50,0.1997,1.5050
51,0.1853,1.3035
52,0.1843,1.0547
53,0.2120,1.0015
54,0.1495,1.1617
55,0.5233,1.0891
56,0.3031,2.1009
57,0.1710,1.4299
58,0.1935,1.0728
59,0.1823,1.1377
60,0.1812,1.1626
61,0.1843,1.2080
62,0.1720,0.9549
63,0.1782,0.9340
64,0.2908,1.4161
65,0.1874,1.4830
66,0.1608,0.9810
67,0.1669,0.9712
68,0.1720,0.9738
69,0.6513,1.2711
70,0.4301,2.3112
71,0.1587,1.3239
72,0.6298,1.1482
73,0.1884,1.6362
74,0.1659,0.9985
75,0.1792,0.8805
76,0.6707,0.9155
77,0.5417,1.5843
78,0.1925,2.7308
79,0.1782,1.1297
80,0.1679,0.9663
81,0.1700,1.0075
82,0.1679,1.1064
83,0.3686,0.9134
84,0.1802,1.3906
85,0.7588,0.9912
86,0.1853,1.8942
87,0.3666,2.3512
88,0.6994,1.6545
89,0.1966,1.7105
90,0.1710,0.9832
91,0.3809,0.9866
92,0.1597,1.3463
93,0.2007,1.1188
94,0.5263,1.2384
95,0.1741,1.2628
96,0.1915,0.9865
97,0.6318,0.9362
98,0.1812,2.1949
99,0.5663,1.4099
100,0.3308,1.5011
101,0.6390,1.2422
102,0.1731,1.5563
103,0.1731,0.9643
104,0.3748,0.9256
105,0.1710,1.2093
106,0.3041,1.3011
107,0.3676,2.4544
108,0.1618,1.2449
109,0.1812,0.8841
110,0.1884,1.0650
111,0.1915,1.0884
112,0.4250,1.1251
113,0.1731,1.2337
114,1.1469,1.0799
115,0.4332,3.0141
116,0.1956,1.3963
117,0.1853,0.9843
118,0.3707,1.0706
119,0.1853,1.4067
120,0.1659,0.9873
121,0.1966,1.0085
122,0.1618,0.9102
123,0.1915,1.0658
124,0.4004,1.8922
125,0.1915,1.5112
126,0.1669,0.9871
127,0.1792,1.1617
128,0.1874,1.1539
129,0.3666,0.9660
130,0.3738,1.2101
131,0.2202,1.2918
132,0.3297,1.2172
133,0.1812,1.5123
134,0.3922,0.9491
135,0.1761,1.2313
136,0.7578,0.9407
137,0.2099,2.3131
138,0.2017,1.4601
139,0.6932,0.9889
140,0.2488,1.6040
141,0.2007,1.2584
142,0.1669,0.9255
143,0.1956,0.8700
144,0.1884,0.8704
145,0.1741,0.8734
146,0.2048,0.9072
147,0.1987,1.9336
148,0.4362,1.1746
149,0.1853,1.2433
150,0.4372,1.6099
151,0.2058,1.3519
152,0.3963,1.0509
153,0.2079,1.3715
154,0.2314,1.1949
155,0.3277,1.3888
156,0.1782,1.0503
157,0.1741,0.9009
158,0.2529,0.9034
159,0.2079,1.3287
160,0.2079,1.8808
161,0.3881,1.1345
162,0.1987,1.2722
163,0.1843,1.4130
164,0.2007,1.2635
165,0.3922,1.1389
166,0.7803,1.3089
167,0.6144,1.7079
168,0.4997,2.7241
169,0.3103,1.3964
170,0.9830,1.0809
171,0.1894,1.8795
172,0.4106,1.0322
173,0.1925,1.1521
174,0.2611,1.0250
175,0.7762,1.7146
176,0.3922,1.7927
177,0.3604,1.3229
178,0.2120,1.2334
179,0.1976,1.3286
180,0.2109,0.9394
181,0.4065,1.1194
182,0.6676,1.2842
183,0.6328,2.1816
184,0.4495,1.6940
185,0.4321,1.2849
186,0.2161,1.2687
187,0.2212,2.0495
188,0.2130,0.7426
189,0.1905,1.0100
190,0.4434,1.4313
191,0.2109,1.3388
192,0.2017,1.0573
193,0.2120,0.9637
194,0.3901,0.9373
195,0.5724,1.4879
196,0.1925,2.2660
197,0.3809,1.1357
198,0.3523,1.1553
199,0.1905,1.1322
200,0.3912,1.2780
201,0.3809,1.3103
202,0.2120,1.2110
203,0.1751,0.9594
204,0.3410,1.1285
205,0.1864,2.6875
206,0.1997,1.0503
207,0.6472,1.3997
208,0.1925,1.5307
209,0.2089,1.1257
210,0.1915,0.9585
211,0.2150,1.1040
212,0.2335,1.2281
213,0.1956,1.3762
214,0.6789,1.0092
215,0.1802,1.5488
216,0.4803,0.9140
217,0.6758,1.9454
218,0.2140,1.8203
219,0.5048,0.9758
220,0.3686,1.3006
221,0.4536,1.6153
222,0.2007,1.3149
223,0.2161,1.0739
224,0.7588,1.3074
225,0.2437,1.6902
226,0.2161,1.0729
227,0.3860,0.9859
228,0.2150,1.3745
229,0.5601,1.0418
230,0.2058,2.0691
231,0.2099,1.2304
232,0.4547,1.0366
233,0.1802,1.7776
234,0.2161,1.1246
235,0.2038,1.0245
236,0.2775,1.0614
237,0.5642,1.3818
238,0.4024,1.4195
239,0.2130,1.1931
240,0.2058,1.0212
241,1.0854,0.9924
242,0.5396,2.9124
243,0.1997,1.9404
244,0.2089,1.0681
245,0.2028,1.3207
246,0.2150,1.1977
247,0.4209,1.0151
248,0.1833,1.4204
249,0.4291,1.4379
250,0.3820,1.7568
251,0.2202,1.3668
252,0.3697,0.9696
253,1.2472,1.1454
254,0.1966,2.4172
255,0.3185,1.6101
256,0.1946,1.5199
257,0.5110,1.2247
258,0.2171,1.4627
259,0.3932,1.0777
260,0.5693,1.6599
261,0.2130,1.3881
262,0.3850,1.0859
263,0.1976,1.3598
264,0.8663,1.1003
265,0.3523,2.6386
266,0.4332,1.6948
267,0.2161,1.3274
268,0.1956,1.0734
269,0.3871,1.1221
270,0.4250,1.3852
271,0.2017,1.2462
272,0.5448,1.3106
273,0.1946,1.4250
274,0.5417,1.1283
275,0.2417,1.5243
276,0.5407,1.1329
277,0.2499,2.1794
278,0.2161,1.7838
279,0.2212,1.1431
280,0.2181,1.4588
281,0.2294,1.1419
282,0.4239,1.2054
283,0.4096,1.3527
284,0.5530,1.3012
285,0.2099,1.4803
286,0.3236,1.2877
287,0.3963,1.1381
288,0.2314,1.6580
289,0.1853,2.3553
290,0.1833,1.2952
291,0.2089,0.9778
292,0.2191,1.1114
293,0.2335,1.1804
294,0.4291,1.0581
295,0.2171,1.2864
296,0.2068,0.9940
297,0.3379,1.2267
298,0.1905,1.5361
299,0.4147,1.0131
300,0.7250,1.3297
301,0.5755,1.6029
302,0.2335,2.5144
303,0.2140,1.1828
304,0.5970,1.0553
305,0.4280,1.4614
306,0.1884,1.3204
307,0.1997,1.0768
308,0.1905,1.0613
309,0.3615,1.2125
310,0.2857,1.8940
311,0.2048,1.1655
312,1.0496,1.6360
313,0.2017,3.5528
314,0.2232,1.2900
315,0.3492,1.3266
316,0.1987,1.6071
317,0.2109,1.1814
318,0.2109,1.2071
319,0.2048,1.1258
320,0.2079,1.0644
321,0.1997,1.1618
322,0.1946,0.9937
323,0.4588,0.9734
324,0.8468,1.5802
325,0.4485,2.5697
326,0.2284,1.4423
327,0.2304,1.1312
328,0.1987,1.3747
329,0.2130,1.2071
330,0.2028,1.1302
331,0.2273,0.9917
332,0.1935,1.1994
333,0.7045,1.1803
334,0.1976,1.9675
335,0.2632,1.4463
336,0.7485,1.3671
337,0.4639,2.5048
338,0.2058,1.3725
339,0.8110,1.2148
340,0.2150,1.8134
341,0.2243,1.2686
342,0.2007,1.1319
343,0.2140,1.0014
344,0.2161,1.1056
345,0.2253,1.2241
346,0.3932,1.0669
347,0.2171,1.2072
348,0.4547,1.1112
349,0.6482,1.9069
350,0.2253,1.9793
351,0.1925,0.9943
352,0.7363,1.1165
353,0.1987,1.7351
354,0.2161,1.0606
355,0.2048,1.0148
356,0.2109,1.0149
357,0.2202,1.1893
358,0.2068,2.0139
359,0.2150,1.2415
360,0.3379,0.9340
361,0.6830,1.1452
362,0.4362,1.5787
363,0.2232,1.3302
364,0.2335,1.0932
365,0.5417,1.3778
366,0.2324,1.5153
367,0.4813,1.1902
368,0.1987,1.3214
369,0.3850,1.0751
370,0.2437,1.7048
371,0.2028,1.5111
372,0.2007,1.1197
373,0.2365,1.0626
374,0.2068,1.4416
375,0.4024,1.1860
376,0.2304,1.3231
377,0.6871,1.0392
378,0.9503,1.6791
379,0.3973,2.6741
380,0.4014,1.3106
381,0.3420,1.2201
382,0.2191,1.5956
383,0.2212,0.9718
384,0.2181,1.0043
385,0.2007,1.0902
386,0.1905,1.1516
387,0.2284,1.2509
388,0.2048,0.9596
389,0.2273,0.9852
390,0.3451,0.9584
391,0.5519,1.0822
392,0.2396,2.3442
393,0.2048,1.1545
394,0.4608,1.0751
395,0.2386,1.5662
396,0.4004,1.0466
397,0.2243,1.3566
398,0.4004,1.0817
399,0.3256,1.6108
400,0.4454,1.5128
401,0.3932,1.4668
402,0.2324,1.1606
403,1.5002,1.2909
404,0.4475,2.4794
405,0.2068,1.7831
406,0.6912,1.1957
407,0.2273,1.5925
408,0.2038,1.0818
409,0.4086,1.1006
410,0.2304,1.2387
411,0.5274,1.2618
412,0.2509,1.6263
413,0.2171,1.4172
414,0.2212,1.0653
415,0.2284,1.2211
416,0.2171,2.4920
417,0.2488,1.0377
418,0.8663,0.9668
419,0.1956,1.8215
420,0.4178,1.0527
421,0.3922,1.2484
422,0.2109,1.2778
423,0.2478,1.2280
424,0.2273,1.1939
425,0.2150,1.0492
426,0.2529,1.1087
427,0.7936,1.1249
428,0.2273,3.1431
429,0.2212,0.9647
430,0.3308,1.0157
431,0.2253,1.1786
432,0.3891,1.1332
433,0.2222,1.3037
434,0.3983,1.0115
435,0.5775,1.2724
436,0.4209,1.5265
437,0.2171,1.3100
438,0.2263,1.1341
439,0.2437,0.9902
440,0.2140,1.2500
441,0.2191,1.1590
442,0.2089,0.9466
443,0.2028,0.9518
444,0.2068,1.0113
445,0.5396,1.1511
446,0.2038,1.4214
447,0.2263,1.0458
448,0.2130,1.0396
449,0.1905,0.9043
450,0.2150,0.9054
451,0.1976,1.3735
452,0.2150,1.1078
453,0.2294,1.0708
454,0.2048,1.0141
455,0.7086,1.0030
456,0.2202,1.5491
457,0.2161,1.0709
458,0.1997,0.9813
459,0.2140,0.9466
460,0.2099,0.9826
461,0.1997,1.3830
462,0.3901,1.0017
463,0.2171,1.2779
464,0.2048,0.9756
465,0.6072,0.9542
466,0.4260,1.5709
467,0.3799,1.2550
468,0.4045,1.2573
469,0.7752,1.3420
470,0.2294,1.7304
471,0.4106,1.0019
472,0.2048,1.2602
473,0.2191,1.0831
474,0.2284,1.1952
475,0.4055,1.3112
476,0.2058,1.2956
477,0.2140,0.9921
478,0.2130,1.1348
479,0.2181,1.2575
480,0.4024,1.0014
481,0.2017,1.4077
482,0.4669,1.0092
483,0.2355,1.2595
484,0.4618,0.9943
485,0.5007,1.5043
486,0.4721,1.3756
487,0.4342,1.2743
488,0.4495,1.7701
489,0.2181,1.2987
490,0.4024,1.0461
491,0.2099,1.3425
492,0.2345,1.2919
493,0.2150,1.6047
494,0.2202,1.0109
495,0.4045,1.0766
496,0.5192,1.5659
497,0.3983,1.2996
498,0.4649,1.2192
499,0.2130,1.3007
500,0.2345,0.9908
501,0.3748,1.1530
502,0.4106,1.6547
503,0.4055,1.2685
504,0.2017,1.3096
505,0.2181,1.1827
506,0.2181,1.0268
507,0.2335,1.0678
508,0.2150,0.9806
509,0.2232,0.9490
510,0.6615,0.9308
511,0.2130,1.5186
512,0.2120,0.9644
513,0.2273,0.9484
514,0.2345,0.9524
515,0.5366,1.0733
516,0.2253,1.3803
517,0.2273,1.0868
518,0.2273,1.0063
519,0.4045,0.9706
520,0.2314,1.5402
521,0.2130,1.1124
522,0.2007,0.9593
523,0.2130,0.9642
524,0.2847,1.0187
525,0.5591,1.0254
526,0.2181,1.3401
527,0.4096,1.0007
528,0.1997,1.2792
529,0.2130,0.9801
530,0.3553,0.9634
531,0.2284,1.8081
532,0.2304,1.0271
533,0.2048,0.9988
534,0.5888,1.0070
535,0.4762,1.4560
536,0.4106,1.4227
537,0.4045,1.3391
538,0.6052,1.2603
