# label=coherent_vis0_bs1024_cw2_n1000000,mode=coherent,N=1000000,vis=0,steps=3000,dt=0.2
step,step_ms,frame_ms
0,4.9039,1.1415
1,4.0940,7.9632
2,4.7452,5.0935
3,4.5885,5.2342
4,4.7063,5.0682
5,5.1354,5.2476
6,4.5937,5.6409
7,4.9756,5.2180
8,5.0903,5.5199
9,5.0913,5.6606
10,6.0652,5.6794
11,4.8507,6.5294
12,4.6879,5.4703
13,4.7288,5.3618
14,5.3924,5.2142
15,6.1245,5.9836
16,4.1482,6.6562
17,4.9695,4.6885
18,4.5957,5.5874
19,6.6918,5.1673
20,3.9854,7.2315
21,3.9875,5.0228
22,4.4667,5.0922
23,6.1911,5.3222
24,4.0591,6.8631
25,4.1144,4.9869
26,5.0381,4.7738
27,5.6687,5.5982
28,3.5666,6.3359
29,4.5404,4.3298
30,4.2947,5.1626
31,4.2527,4.8749
32,4.5025,4.8238
33,4.3284,4.9895
34,4.0581,4.9080
35,3.8021,4.5509
36,4.2250,4.4893
37,4.8384,4.9612
38,5.7539,5.3675
39,4.1841,6.1729
40,4.3428,4.6919
41,4.7892,4.8572
42,4.8701,5.4067
43,4.4564,5.3807
44,4.4728,4.9964
45,3.9741,4.9834
46,3.9496,4.5604
47,5.3852,4.6974
48,3.5246,5.8906
49,4.3489,4.2608
50,4.1697,4.8163
51,4.3264,4.6766
52,4.1605,4.7335
53,3.7970,4.6883
54,3.8595,4.2452
55,4.4288,4.3755
56,4.4022,5.0011
57,5.4620,4.9539
58,4.2179,5.8791
59,4.2793,4.7713
60,3.7939,4.7652
61,3.6669,4.2437
62,4.2424,4.2997
63,4.3858,4.8504
64,4.8148,4.9420
65,5.9054,5.4210
66,4.6029,6.4057
67,5.7385,5.0569
68,4.5066,6.2194
69,4.2783,4.9835
70,4.2885,4.7901
71,4.3356,5.1710
72,4.2598,4.8220
73,3.9526,4.7842
74,4.3950,4.3848
75,4.3510,4.8836
76,4.7135,4.9725
77,5.8419,5.2401
78,4.3387,6.2951
79,4.2813,4.8006
80,4.2875,4.7485
81,3.7827,4.7538
82,3.5871,4.2878
83,3.8605,4.2764
84,4.1206,4.2921
85,4.2547,4.6490
86,4.6500,4.7839
87,4.0458,5.2713
88,4.5138,4.5906
89,3.9250,6.0396
90,3.4324,4.3382
91,4.2445,4.2132
92,4.1923,4.7063
93,4.1615,4.6890
94,3.5932,4.6301
95,3.6116,4.1304
96,4.3295,4.2629
97,4.9111,4.8782
98,5.5204,5.3688
99,4.2885,6.0167
100,4.3438,4.7817
101,4.4001,4.7916
102,3.7356,4.7482
103,3.4990,4.2497
104,3.9014,4.1451
105,4.2650,4.5075
106,4.2383,4.8067
107,3.9250,4.7440
108,3.8758,4.5051
109,3.7151,4.4369
110,3.7478,5.5348
111,4.6008,4.4911
112,4.3561,5.1787
113,4.3223,4.8539
114,4.2967,4.7041
115,3.7530,4.9648
116,3.5420,4.2404
117,3.9741,4.2070
118,4.4155,4.6577
119,5.5921,4.9771
120,4.2639,6.0176
121,4.3039,4.7696
122,3.6465,4.7517
123,3.4693,4.1549
124,4.1011,4.0909
125,4.4585,4.7127
126,4.3284,4.9364
127,4.1196,4.9293
128,4.0704,4.7011
129,3.7120,4.7857
130,3.9731,5.1030
131,5.5900,4.7344
132,3.7775,6.1092
133,5.2562,4.5335
134,3.8451,5.9429
135,4.6387,4.6143
136,5.9085,5.1590
137,4.0264,6.4728
138,5.0217,4.6770
139,5.8378,5.5886
140,4.0233,6.4043
141,4.6797,4.7560
142,5.8634,5.2284
143,4.5025,6.4126
144,4.6377,5.0844
145,5.8788,5.1456
146,4.3889,6.4072
147,4.7196,4.8948
148,5.8460,5.2519
149,4.4964,6.3894
150,4.8056,5.0634
151,6.0047,5.3310
152,4.1687,6.5001
153,5.7743,4.8949
154,4.8835,6.2880
155,4.0212,5.5161
156,5.6392,4.6994
157,4.4462,6.1551
158,4.6479,4.9430
159,5.7805,5.1451
160,4.5394,6.2634
161,4.4339,5.0499
162,5.4927,4.9740
163,4.3766,5.9623
164,4.5169,4.9017
165,5.8245,5.0837
166,4.5814,6.3357
167,5.9259,5.2214
168,4.5332,6.4994
169,4.4564,5.0022
170,5.7795,5.0166
171,4.7913,6.2626
172,5.9300,5.4862
173,4.6213,6.6401
174,4.6920,5.1746
175,6.0611,5.2112
176,4.3244,6.5301
177,4.6285,4.9820
178,5.9904,5.1942
179,4.3069,6.5212
180,4.6940,4.8956
181,5.7518,5.1972
182,4.5947,6.3219
183,5.7416,5.1329
184,4.4605,6.1821
185,4.5322,4.9808
186,5.6709,5.1097
187,4.4933,6.1679
188,4.4575,5.0337
189,5.5562,4.9576
190,4.3162,6.0057
191,4.5486,4.8301
192,3.8963,5.0651
193,4.6285,4.4903
194,4.0233,6.1708
195,3.4550,4.6422
196,3.7663,5.3141
197,4.1871,4.6905
198,5.6863,4.6543
199,3.9629,6.3499
200,6.0570,4.4609
201,3.9322,6.6572
202,4.8753,4.4786
203,5.9679,5.3581
204,4.3356,6.4618
205,5.6248,4.9470
206,4.0673,6.2139
207,4.4534,4.5414
208,5.9740,5.1496
209,4.5158,6.4817
210,4.5527,5.0392
211,5.5142,5.0617
212,4.6367,6.0178
213,5.0903,5.1540
214,5.8470,5.6874
215,4.5394,6.3706
216,4.7237,5.1405
217,5.8481,5.2904
218,4.4882,6.3765
219,4.7165,5.0531
220,5.9904,5.4083
221,4.0264,6.5359
222,4.7370,4.7120
223,5.7907,5.3032
224,4.4442,6.2567
225,5.9607,5.0172
226,4.0550,6.4264
227,4.5814,4.7259
228,5.7518,5.0740
229,4.3182,6.2036
230,4.3674,4.8621
231,5.6689,4.9228
232,4.3837,6.1361
233,5.0975,4.9268
234,5.7160,5.7499
235,4.5445,6.3180
236,4.6489,5.0304
237,5.7221,5.2966
238,4.5476,6.2755
239,5.7139,5.0040
240,4.5998,6.2465
241,5.9116,5.2470
242,4.4626,6.4118
243,4.6479,5.0072
244,5.8153,5.1550
245,4.5885,6.3920
246,5.5091,5.0437
247,4.5793,6.0288
248,5.6586,5.0861
249,4.4165,6.1603
250,5.6924,4.9508
251,4.5087,6.2886
252,5.5675,5.0235
253,4.6602,6.0830
254,5.6822,5.2186
255,4.1462,6.3006
256,5.4518,4.7079
257,4.4769,5.9617
258,5.5859,4.9937
259,4.4114,6.1085
260,5.4497,4.9614
261,4.4411,5.9117
262,4.7708,5.1102
263,5.7999,5.2625
264,4.5466,6.3211
265,6.0170,5.1661
266,4.1400,6.5814
267,4.4810,4.6476
268,5.6259,5.0170
269,4.5435,6.1483
270,5.7569,5.0687
271,4.5292,6.2318
272,5.8614,5.0510
273,4.7800,6.3659
274,4.5619,5.3380
275,5.7139,5.0256
276,4.4861,6.3171
277,5.5398,4.9422
278,4.3694,5.9921
279,4.2465,4.8753
280,4.3008,4.7312
281,3.8175,4.8438
282,3.7233,4.3242
283,3.9363,4.2972
284,4.2916,4.3322
285,4.2588,4.9374
286,3.6127,4.6260
287,3.5615,4.1430
288,3.8175,4.1711
289,4.0172,4.2865
290,4.1902,4.5273
291,3.6618,4.6977
292,3.4724,4.0773
293,3.8001,4.1291
294,4.1585,4.3630
295,4.5670,4.6724
296,4.8353,5.0631
297,3.7550,5.2773
298,3.7376,4.2876
299,3.8820,4.3507
300,4.0663,4.3291
301,4.1667,4.6816
302,3.6598,4.6419
303,3.4335,4.1520
304,4.0172,4.0750
305,4.1585,4.4939
306,4.1595,4.6478
307,3.5779,4.6399
308,3.4714,4.0669
309,4.1953,4.1165
310,4.0950,4.6952
311,4.1257,4.5221
312,3.6332,4.5983
313,3.4939,4.1380
314,4.1400,4.1010
315,4.1021,4.6154
316,4.2045,4.6401
317,3.7335,4.6836
318,3.4959,4.2170
319,4.3489,4.2382
320,4.4882,4.8372
321,4.1329,5.0208
322,3.6168,4.5494
323,3.5246,4.1174
324,3.9188,4.1535
325,4.0182,4.4824
326,4.1728,4.4945
327,3.5328,4.6685
328,3.5953,4.0286
329,4.0151,4.2595
330,4.1390,4.5355
331,4.1564,4.6623
332,3.6526,4.5839
333,3.7591,4.1152
334,3.4171,5.9082
335,3.9342,4.0536
336,4.0684,4.4177
337,4.1656,4.5915
338,3.8420,4.6638
339,3.4652,4.2223
340,4.2127,4.0447
341,4.2435,4.7225
342,4.3008,4.7327
343,3.7212,4.8371
344,3.4058,4.1208
345,3.8072,4.3034
346,4.1820,4.3943
347,4.1247,4.6423
348,3.6782,4.6355
349,3.5512,4.1826
350,3.9946,4.1624
351,4.0602,4.4669
352,4.2301,4.5849
353,3.6045,4.5600
354,3.4284,4.1195
355,4.2578,4.1627
356,4.0970,4.7054
357,4.1800,4.6452
358,3.5922,4.6176
359,3.3853,4.0921
360,4.2189,4.1361
361,4.0970,4.6696
362,4.1810,4.6789
363,3.6444,4.6563
364,3.5645,4.1220
365,4.2435,4.2085
366,4.1175,4.7480
367,4.3295,4.5995
368,3.8011,4.8361
369,3.5471,4.3880
370,3.9485,4.2663
371,4.2394,4.5023
372,4.1841,4.7406
373,3.8513,4.6994
374,3.5789,4.3462
375,3.8810,4.2370
376,4.4739,4.3627
377,4.3510,5.1184
378,4.2404,4.7993
379,3.7489,4.7137
380,3.6485,4.2324
381,3.9916,4.5013
382,4.5394,4.5376
383,4.2230,5.0707
384,4.4134,4.8669
385,3.7898,4.8477
386,3.5932,4.2391
387,3.7212,4.2025
