# label=scattered_vis0_bs128_cw1_n200000,mode=scattered,N=200000,vis=0,steps=3000,dt=0.2
step,step_ms,frame_ms
0,1.0957,1.2411
1,0.7342,6.6009
2,0.7076,1.4369
3,0.7199,1.0875
4,1.2790,1.2790
5,0.7260,1.8880
6,0.7127,1.2574
7,0.7219,1.0870
8,0.7270,1.1681
9,0.7158,1.1913
10,0.8448,1.7240
11,0.7322,1.3681
12,0.7117,1.1430
13,0.7250,1.3549
14,0.7178,1.3732
15,0.7219,1.2050
16,0.7496,1.1744
17,0.7240,1.1891
18,0.7772,1.5898
19,0.7107,1.3695
20,0.7137,1.3076
21,1.4858,1.1699
22,0.7148,1.9876
23,0.7096,1.1921
24,0.7209,1.1698
25,1.2370,1.1607
26,0.7301,1.7463
27,0.7639,1.2347
28,0.7414,1.2307
29,0.7741,1.1977
30,0.7291,1.2903
31,0.7127,1.4352
32,0.7342,1.2869
33,0.7281,1.1142
34,1.1377,1.4841
35,0.7455,1.9546
36,0.7506,1.1614
37,0.7342,1.2529
38,0.7158,1.1474
39,0.7148,1.5884
40,0.7137,1.1708
41,0.9052,1.1559
42,0.6994,1.5464
43,0.7649,1.6164
44,0.7188,1.2144
45,1.0107,1.2155
46,0.7598,1.3823
47,0.7496,2.4767
48,1.0486,1.5811
49,0.7342,1.4909
50,0.7485,1.5416
51,0.7250,1.2398
52,0.9277,1.1914
53,1.1162,1.4280
54,0.7311,1.5669
55,0.7301,1.2406
56,0.9329,1.3552
57,1.1213,1.2962
58,0.7516,1.7939
59,0.8950,1.3652
60,0.8991,1.3656
61,0.7209,1.4736
62,0.7741,2.1522
63,0.8745,1.6258
64,0.7373,1.5982
65,0.7199,1.4510
66,0.7240,1.2008
67,0.7219,1.1800
68,0.7383,1.1449
69,0.7342,1.2230
70,0.7414,1.7018
71,0.7516,1.2093
72,0.7455,1.2173
73,0.7834,1.2766
74,0.7485,1.5103
75,0.7393,1.1329
76,0.7414,1.1777
77,0.7455,1.4144
78,0.8704,2.2305
79,1.0107,1.7315
80,0.7404,1.4184
81,0.7813,1.9313
82,0.7475,1.1528
83,0.7588,1.1312
84,0.7926,1.5529
85,0.7700,1.5827
86,0.7741,1.2441
87,0.7680,1.2317
88,0.7782,1.5319
89,0.7260,1.6434
90,0.7444,1.1931
91,0.9073,1.1650
92,1.1346,1.4286
93,0.7455,2.8361
94,0.7516,1.4181
95,0.7475,1.3770
96,0.7537,1.3676
97,0.7608,1.2116
98,1.1008,1.2259
99,0.7608,2.1244
100,0.7670,1.1948
101,0.7690,1.1461
102,0.9452,1.2108
103,1.1827,1.5919
104,0.7762,1.8510
105,0.8018,1.2814
106,0.7660,1.4246
107,0.7690,1.2699
108,0.7731,1.5705
109,0.7875,1.1938
110,0.8172,1.5518
111,0.7967,1.3818
112,0.7772,1.4939
113,0.8182,1.1819
114,0.7813,1.4853
115,1.6701,1.2984
116,0.7762,3.1201
117,1.1581,1.2446
118,0.7629,1.5855
119,0.7670,1.2960
120,0.7547,1.2024
121,1.2083,1.3074
122,0.7936,1.9008
123,0.7926,1.1677
124,0.8131,1.3641
125,0.7987,1.1729
126,0.7690,1.4154
127,0.7864,1.4065
128,0.7608,1.2443
129,0.7700,1.2131
130,0.8284,1.3785
131,0.9964,1.6553
132,1.0199,1.4889
133,0.8100,1.5252
134,0.7864,1.3807
135,0.7721,1.2572
136,0.7700,1.3964
137,1.0189,1.3339
138,0.7803,1.4537
139,0.7895,1.7146
140,0.9861,1.2599
141,1.2923,1.4868
142,0.8561,2.2083
143,0.8100,1.4551
144,0.8038,1.2874
145,0.8253,1.4488
146,0.8028,1.6408
147,0.8131,1.2594
148,0.7844,1.4047
149,1.5053,1.1708
150,0.9216,3.0108
151,1.1377,1.4731
152,0.7793,1.6977
153,0.7803,1.1535
154,0.7823,1.2520
155,0.8202,1.3205
156,0.8223,1.2867
157,0.7885,1.5312
158,0.8202,1.2058
159,0.7936,1.3024
160,0.8100,1.3157
161,0.7741,1.6522
162,0.7823,1.2308
163,0.7895,1.2413
164,0.8970,1.3641
165,0.7946,1.5291
166,0.7916,1.2513
167,0.8038,1.2598
168,0.9052,1.3890
169,0.7844,1.5760
170,0.9216,1.2342
171,0.7741,1.4249
172,0.9411,1.4245
173,0.8212,1.7021
174,0.7895,1.2268
175,0.7956,1.2498
176,0.9370,1.3611
177,0.7854,1.5871
178,0.8233,1.3443
179,0.8049,1.2539
180,0.8223,1.4802
181,0.7895,1.5294
182,0.7956,1.2553
183,0.8038,1.2567
184,0.7997,1.4550
185,0.8612,2.3276
186,0.8223,1.8610
187,0.8038,1.5401
188,1.1069,1.4024
189,0.8049,1.6431
190,0.7875,1.4305
191,0.7926,1.3953
