# label=scattered_vis0_bs128_cw2_n10000,mode=scattered,N=10000,vis=0,steps=3000,dt=0.2
step,step_ms,frame_ms
0,0.9646,1.4273
1,0.1690,4.4222
2,0.1413,2.0984
3,0.3348,0.5746
4,0.1393,0.7410
5,0.2775,0.5766
6,0.1505,0.7684
7,0.2877,0.6802
8,0.1608,1.0907
9,0.2079,0.5098
10,0.1382,0.8983
11,0.1331,0.5693
12,0.1311,0.5118
13,0.5478,0.6393
14,0.1505,0.9644
15,0.1311,1.0203
16,0.1341,0.5904
17,0.1393,0.5468
18,0.1413,0.5719
19,0.2632,0.5696
20,0.2765,0.7536
21,0.1352,0.7667
22,0.1516,0.8696
23,0.1976,1.2481
24,0.1475,0.7727
25,0.1597,0.5732
26,0.1659,0.5718
27,0.1505,0.7404
28,0.6318,0.5188
29,0.1475,1.0263
30,0.1403,0.9770
31,0.1823,0.5781
32,0.1444,0.6636
33,0.1413,0.6076
34,0.1341,0.7092
35,0.1485,0.4705
36,0.4567,0.6004
37,0.2867,1.0701
38,0.2673,1.1488
39,0.1475,0.7634
40,0.1403,0.5796
41,0.1413,0.6825
42,0.2662,0.4896
43,0.8796,0.7594
44,0.1720,1.3812
45,0.1495,1.0454
46,0.1393,0.5250
47,0.1546,0.6236
48,0.1434,0.7129
49,0.1403,0.6412
50,0.3174,0.5073
51,0.1669,0.7952
52,0.2980,0.6845
53,0.1577,1.1653
54,0.1434,0.6365
55,0.1423,0.5797
56,0.1516,0.6964
57,0.1423,0.5294
58,0.5356,0.5160
59,0.5427,0.9465
60,0.1403,1.0686
61,0.1413,0.5979
62,0.1352,0.6319
63,0.1434,0.5609
64,0.1546,0.6865
65,0.1403,0.5225
66,0.4004,0.6003
67,0.1628,0.9253
68,0.1679,1.2640
69,0.1372,0.7143
70,0.1516,0.5031
71,0.1577,0.7408
72,0.1526,0.6431
73,0.1516,0.5989
74,0.1516,0.5528
75,0.1833,0.7077
76,0.3185,1.1051
77,0.2191,0.9573
78,0.1741,0.5967
79,0.3103,0.7694
80,0.2714,0.7160
81,0.6113,0.8859
82,0.1362,1.1892
83,0.1413,0.5642
84,0.1403,0.7365
85,0.3041,0.6144
86,0.2775,0.7154
87,0.1516,0.8105
88,0.5356,0.5447
89,0.1526,1.2410
90,0.1690,1.0253
91,0.1454,0.5851
92,0.1587,0.6034
93,0.3932,0.8634
94,0.1925,0.8198
95,0.1444,0.6619
96,0.1638,0.7935
97,0.1577,0.7994
98,0.1444,0.6056
99,0.3154,0.5827
100,0.1444,0.9595
101,0.1812,0.5130
102,0.1464,0.6310
103,0.2202,0.6753
104,0.1925,0.7892
105,0.1444,0.9487
106,0.1649,0.5781
107,0.1608,0.5701
108,0.3092,0.4991
109,0.1485,0.8602
110,0.6810,0.5648
111,0.1802,1.3887
112,0.3471,1.5400
113,0.3492,0.9985
114,0.1505,1.0205
115,0.1567,0.6780
116,0.1935,0.7862
117,0.3031,0.6520
118,0.1475,1.2019
119,0.5243,0.6996
120,0.1618,1.1570
121,0.1659,0.7025
122,0.3215,0.8057
123,0.1495,1.0004
124,0.3512,1.1171
125,0.1485,0.9403
126,0.1454,0.6393
127,0.4096,0.8009
128,1.0025,0.8999
129,0.1444,1.5934
130,0.1597,0.9754
131,0.1546,0.6394
132,0.1628,0.6844
133,0.1577,0.7107
134,0.1505,0.6733
135,0.1812,0.7682
136,0.1577,0.6756
137,0.1720,0.8312
138,0.1567,0.6280
139,0.1741,0.8313
140,0.1700,0.5378
141,0.1608,0.7318
142,0.1628,0.6303
143,0.1454,0.8066
144,0.1556,0.5098
145,0.1608,0.9527
146,0.1434,0.7026
147,0.1516,0.6063
148,0.1516,0.5116
149,0.2826,0.5739
150,0.1546,0.6847
151,0.1516,0.6284
152,0.1516,0.7242
153,0.2867,1.1876
154,0.1505,0.7874
155,0.1485,0.5990
156,0.2775,0.6028
157,0.1526,0.7757
158,0.4250,0.6115
159,0.1577,0.8923
160,0.2816,0.9864
161,0.2755,0.7682
162,0.3256,0.8532
163,0.3052,0.7344
164,0.2734,0.8032
165,0.3502,0.7408
166,0.1843,0.9318
167,0.2847,0.9292
168,0.1536,0.7363
169,0.1546,0.5786
170,0.2755,0.6052
171,0.1567,0.7733
172,0.1608,0.6329
173,0.5673,1.0025
174,0.1546,1.5789
175,0.1546,0.5887
176,0.2826,0.5323
177,0.1495,1.9045
178,0.1669,1.1726
179,0.1700,1.4638
180,0.3594,1.5681
181,0.1700,1.2409
182,0.1546,0.9523
183,0.1597,0.9950
184,0.1874,0.9243
185,0.1720,0.8284
186,0.1505,0.7242
187,0.1526,0.7547
188,0.1720,0.8940
189,0.1710,0.7437
190,0.1587,1.3142
191,0.1659,0.6939
192,0.1669,0.7558
193,0.1475,0.7099
194,0.1659,0.6963
195,0.1782,0.7522
196,0.2929,0.8447
197,0.3799,1.0696
198,0.1618,1.0483
199,0.3512,0.8121
200,0.3236,1.0405
201,0.1618,1.1643
202,0.1628,1.0331
203,0.3615,0.7164
204,0.1628,1.0901
205,0.1546,0.7697
206,0.7055,0.8349
207,0.5612,1.1313
208,0.1741,1.3888
209,0.3523,0.8599
210,0.1608,0.8243
211,0.1823,0.5448
212,0.1966,0.6941
213,0.5417,0.9506
214,0.2847,1.0639
215,0.1659,0.8212
216,0.2396,0.5801
217,0.1761,0.7275
218,0.1556,0.7124
219,0.2929,0.5832
220,0.1628,1.1236
221,0.1843,0.6945
222,0.3195,0.8665
223,0.1864,0.8358
224,0.1935,0.6195
225,0.1802,0.8506
226,0.3318,0.6144
227,0.5908,1.1171
228,0.1577,1.5146
229,0.2980,0.5518
230,0.1710,0.8731
231,0.1597,0.7188
232,0.3891,0.6233
