# label=coherent_vis0_bs128_cw1_n10000,mode=coherent,N=10000,vis=0,steps=3000,dt=0.2
step,step_ms,frame_ms
0,0.4710,3.4634
1,0.1782,3.4793
2,0.3156,2.6900
3,0.1577,2.0459
4,0.1700,1.1302
5,0.5939,0.7427
6,0.1516,1.2575
7,0.1331,0.5820
8,0.5786,1.1061
9,0.6758,1.2217
10,0.1597,1.1909
11,0.1495,0.5928
12,0.1485,0.6938
13,0.6390,0.6561
14,0.1741,1.1693
15,0.1516,0.9969
16,0.3072,0.5962
17,0.1403,0.8678
18,0.3564,0.7727
19,0.1516,0.9321
20,0.1362,0.9080
21,0.7565,0.8915
22,0.1413,1.5841
23,0.1853,0.6317
24,0.1587,0.6244
25,0.3615,0.7086
26,0.1485,1.2333
27,0.1505,0.7341
28,0.2970,0.7895
29,0.1382,1.2597
30,0.1505,0.6148
31,0.1516,0.6124
32,0.2908,0.6769
33,0.1905,0.7100
34,0.1495,0.7064
35,0.1321,1.0247
36,0.1608,0.5945
37,0.1393,0.5951
38,0.1536,0.5509
39,0.1546,0.6386
40,0.4372,0.7944
41,0.5868,0.8170
42,0.1454,1.2252
43,0.1485,0.5058
44,0.1423,0.7723
45,0.1505,0.6458
46,0.1413,0.6124
47,0.1700,0.5494
48,0.1536,0.5957
49,0.5571,0.8617
50,0.7035,1.1518
51,0.1475,1.1415
52,0.1444,0.5865
53,0.1475,0.5343
54,0.1597,0.6065
55,0.1731,0.7436
56,0.1802,0.7580
57,0.1587,0.5209
58,0.1393,1.1181
59,0.1444,0.5542
60,0.1475,0.8308
61,0.1475,0.9867
62,0.1516,0.7334
63,0.1843,0.9632
64,0.1659,0.9179
65,0.1475,0.5328
66,0.1516,0.6312
67,0.1536,0.6734
68,0.1505,0.6530
69,0.1444,0.5563
70,0.1382,0.6032
71,0.5663,0.9511
72,0.1823,0.9686
73,0.1382,1.1634
74,0.3011,0.5246
75,0.1638,0.8614
76,0.3707,0.9434
77,0.5642,0.9554
78,0.1679,1.0784
79,0.3594,0.8900
80,0.1382,1.0435
81,0.1464,0.5631
82,0.1587,0.5607
83,0.1485,0.8144
84,0.1649,0.8263
85,0.1505,0.7591
86,0.1495,0.8001
87,0.1464,0.5671
88,0.1403,0.6033
89,0.1464,0.6790
90,0.1475,0.5381
91,0.1597,0.7705
92,0.5868,0.8724
93,0.2755,0.9776
94,0.3011,1.3629
95,0.1454,0.7511
96,0.3144,0.6201
97,0.1628,0.8146
98,0.3185,1.0225
99,0.3553,1.2896
100,0.1772,0.7836
101,0.1505,0.8516
102,0.1597,0.6877
103,0.2355,0.5681
104,0.1464,0.7925
105,0.1505,0.7544
106,0.1495,0.9674
107,0.1393,0.7750
108,0.1393,0.7861
109,0.1403,0.6207
110,0.1587,0.6643
111,0.1423,0.6122
112,0.5642,0.6523
113,0.8192,0.9765
114,0.1454,1.3497
115,0.1516,0.6254
116,0.1485,0.6550
117,0.1464,0.6311
118,0.1608,0.6681
119,0.5745,0.7926
120,0.3410,1.1194
121,0.1403,0.9739
122,0.1393,0.6843
123,0.3144,0.4696
124,0.1454,0.8506
125,0.1628,0.6396
126,0.1475,0.8458
127,0.1587,0.6236
128,0.1812,0.9692
129,0.1475,0.6399
130,0.3072,0.6159
131,0.1649,0.8332
132,0.1403,0.6253
133,0.3625,0.6818
134,0.6922,0.7932
135,0.1485,1.4822
136,0.1516,0.6697
137,0.1434,0.6659
138,0.1833,0.6668
139,0.2068,0.5714
140,0.1833,0.8246
141,0.1526,0.6648
142,0.3052,1.0070
143,0.3103,0.8022
144,0.1526,0.8308
145,0.3031,0.6537
146,0.3246,0.8088
147,0.3482,0.8118
148,0.6287,0.7673
149,0.1546,1.1543
150,0.1608,0.7077
151,0.1536,0.5878
152,0.1464,0.7117
153,0.1526,0.6465
154,0.1628,0.6495
155,0.3123,0.7310
156,0.3338,1.0977
157,0.1720,1.3299
158,0.1659,0.6641
159,0.1608,0.6578
160,0.2867,0.6638
161,0.5663,0.8065
162,0.1444,1.0413
163,0.3226,0.5524
164,0.1485,0.7730
165,0.3000,0.6022
166,0.1812,0.8148
167,0.5091,0.6386
168,0.5018,1.0873
169,0.1413,1.0181
170,0.1659,0.6288
171,0.1567,0.6423
172,0.1567,0.6351
173,0.1516,0.6414
174,0.1485,0.6515
175,0.1966,0.7319
176,0.2867,0.7779
177,0.1679,1.0187
178,0.1577,0.6633
179,0.3092,0.7369
180,0.3123,0.8319
181,0.3082,0.8186
182,0.1505,0.9229
183,0.3236,0.6553
184,0.1393,1.1536
185,0.1638,0.5686
186,0.1751,0.6401
187,0.1475,0.6657
188,0.1638,0.6196
189,0.1710,0.6539
190,0.1434,0.8444
191,0.1556,0.5444
192,0.3174,0.8743
193,0.3174,0.8373
194,0.1526,0.8177
195,0.1495,0.6328
196,0.1526,0.6529
197,0.4628,0.6261
198,0.1536,0.9743
199,0.1526,0.9243
200,0.1454,0.6571
201,0.1475,0.5951
202,0.1628,0.6484
203,0.1393,1.0891
204,0.2458,0.7666
205,0.1444,0.6710
206,0.1536,0.5142
207,0.1495,0.7963
208,0.3215,0.6349
209,0.3000,0.8673
210,0.1485,0.7987
211,0.3031,0.6353
212,0.1792,0.8126
213,0.1659,0.7018
214,0.1495,0.9508
215,0.1577,0.6404
216,0.3092,0.6545
217,0.1567,0.8139
218,0.1526,0.6442
219,0.1638,0.6147
220,0.5274,0.7814
221,0.1546,1.1541
222,0.3082,0.5380
223,0.1423,0.9676
224,0.3185,0.5528
225,0.1526,0.8257
226,0.1720,0.6317
227,0.1536,0.7184
228,0.3174,0.6251
229,0.1556,1.1427
230,0.1618,0.6189
231,0.1485,0.6426
232,0.1587,0.6146
233,0.1485,0.6628
234,0.4905,0.6604
235,0.1751,0.9966
236,0.1577,0.9555
237,0.3144,0.6446
238,0.1577,0.8264
239,0.3185,0.6506
240,0.1556,0.8380
241,0.2099,0.6465
242,0.1690,0.6939
243,0.1556,0.5949
244,0.1546,0.9123
245,0.1495,0.6467
246,0.3154,0.6373
247,0.1556,0.8582
248,0.1618,0.6039
249,0.3092,0.7395
250,0.7199,0.7415
251,0.1587,1.1694
252,0.1628,0.6255
253,0.1638,0.6583
254,0.1587,0.6342
255,0.1608,0.6225
256,0.1638,0.6370
257,0.1546,0.6622
258,0.2847,0.7409
259,0.1546,1.0661
260,0.1546,0.6725
261,0.1546,0.6471
262,0.1741,0.6538
263,0.1864,0.6589
264,0.1925,0.6296
265,0.1956,0.7846
266,0.3246,0.7203
267,0.1567,1.0607
268,0.1597,0.6394
269,0.1618,0.6454
270,0.1546,0.6645
271,0.1577,0.6557
272,0.1526,0.5897
273,0.1638,0.6323
274,0.1864,0.7996
275,0.1618,0.8992
276,0.1597,0.6565
277,0.1597,0.6610
278,0.1608,0.6618
279,0.3215,0.6741
280,0.4014,0.8293
281,0.9298,1.0629
282,0.1577,1.3852
283,0.3154,0.6635
284,0.1628,0.8593
285,0.1802,0.6623
286,0.4700,0.6966
287,0.1597,0.9926
288,0.1587,0.8923
289,0.4086,0.6612
290,0.1495,0.9673
291,0.1526,0.5539
292,0.1587,0.5887
