# label=naive_vis0_bs128_cw2_n200000,mode=naive,N=200000,vis=0,steps=300,dt=0.2
step,step_ms,frame_ms
0,148.1390,1.4574
1,125.0959,151.9749
2,125.2608,127.0801
3,125.4861,126.7926
4,125.4154,126.3034
5,119.8356,126.0415
6,106.9681,120.4956
7,107.1309,107.5155
8,106.2410,107.7092
9,105.0081,106.7198
10,106.0526,105.6104
11,106.3311,106.5372
12,105.9389,107.1715
13,105.8540,106.4181
14,105.4444,106.4426
15,106.0393,106.0051
16,104.8269,106.6796
17,106.6629,105.2774
18,104.7224,107.2181
19,105.9092,105.3863
20,105.1208,106.6611
21,106.0977,105.7195
22,104.6958,106.6212
23,105.8058,105.2992
24,105.1167,106.3255
25,106.3506,105.7592
26,105.1044,106.8493
27,106.4899,105.7068
28,105.1873,106.9614
29,105.9953,105.8577
30,105.0655,106.5359
31,106.2421,105.5876
32,104.7788,106.8655
33,105.9195,105.3284
34,105.3563,106.4416
35,106.2676,106.0220
36,104.7040,106.7705
37,106.2083,105.2007
38,104.6805,106.7953
39,106.4858,105.2351
40,104.9088,107.0500
41,105.9348,105.4835
42,105.0706,106.5863
43,106.3670,105.6226
44,105.2662,106.9746
45,105.8284,105.7905
46,106.4315,106.6057
47,105.9328,106.9767
48,104.9969,106.4937
49,106.0506,105.5979
50,104.8709,106.6450
51,105.9277,105.4816
52,104.7941,106.5677
53,106.0321,105.2073
54,104.7654,106.6617
55,106.3444,105.2523
56,105.2191,106.8724
57,106.1939,105.7927
58,106.1243,106.8348
59,104.8402,106.6504
60,105.8365,105.3138
61,106.5718,106.6267
62,106.8442,107.2028
63,106.1724,107.3008
64,104.8310,106.7042
65,106.2154,105.4255
66,106.2052,106.7933
67,104.8801,106.8447
68,106.3803,105.4377
69,105.2539,106.9472
70,106.1704,106.0450
71,105.9727,106.7182
72,105.6256,106.6834
73,106.1140,106.1922
74,106.3414,106.6714
75,105.1515,107.0567
76,106.3014,105.6898
77,106.6148,106.8545
78,105.3174,107.2810
79,106.0710,105.9490
80,105.9267,106.7089
81,105.3245,106.5383
82,106.0844,105.8943
83,106.2134,106.5935
84,106.2881,106.8241
85,105.2058,106.8135
86,105.8130,105.7911
87,106.5554,106.5558
88,105.9123,107.2160
89,104.9692,106.4515
90,106.2410,105.5816
91,105.3747,106.7831
92,106.3485,105.9056
93,106.4684,107.0207
94,106.7909,107.0095
95,106.4018,107.3693
96,104.8412,106.9483
97,106.2748,105.4437
98,104.9344,106.8428
99,106.3619,105.8945
100,105.1075,106.9603
101,106.4837,105.5784
102,104.8832,106.9798
103,106.1038,105.4344
104,106.1499,106.9489
105,105.7393,106.7033
106,106.1704,106.2587
107,105.5181,106.7635
108,106.6783,106.0709
109,105.5468,107.2527
110,106.4468,106.1915
111,106.0567,107.0233
112,106.0803,106.5042
113,105.3041,106.6338
114,106.1745,105.9919
115,105.1228,106.7413
116,106.0188,105.6605
117,105.5427,106.5845
118,104.8863,106.0801
119,106.2953,105.5191
120,106.0024,106.8668
121,106.2738,106.4831
122,104.9713,106.8883
123,105.6819,105.5201
124,106.2820,106.6800
125,105.8478,106.7291
126,105.8703,106.4774
127,106.1970,106.4397
128,105.2836,106.7229
129,106.4499,105.8147
130,104.8678,107.1289
131,106.4622,105.4347
132,104.9006,107.0279
133,106.0874,105.4389
134,106.1786,106.7721
135,105.1238,106.7762
136,106.3240,105.6846
137,104.9416,106.8613
138,105.9123,105.5854
139,106.1663,106.4123
140,104.9221,106.7564
141,106.3547,105.4885
142,105.1884,106.9166
143,106.0813,105.8584
144,104.7460,106.5964
145,105.9942,105.3345
146,104.8801,106.5648
147,106.4387,105.4707
148,106.3537,107.0310
149,105.1075,106.8515
150,106.0270,105.7307
151,106.0721,106.6141
152,106.6906,106.6728
153,106.3803,107.2065
154,105.9932,107.0087
155,104.9313,106.5345
156,106.0250,105.5093
157,104.9948,106.6458
158,106.0424,105.5662
159,105.3174,106.5373
160,106.4243,105.8564
161,104.9221,106.9652
162,106.2185,105.4957
163,105.7731,106.8060
164,105.0993,106.3798
165,106.0321,105.7628
166,105.9441,106.7278
167,106.1837,106.4793
168,105.5437,106.7278
169,105.0952,106.0563
170,106.1765,105.6409
171,105.7382,106.7481
172,105.7946,106.3443
173,105.6614,106.2822
174,105.8089,106.2578
175,106.2840,106.3017
