# label=coherent_vis0_bs128_cw2_n1000000,mode=coherent,N=1000000,vis=0,steps=3000,dt=0.2
step,step_ms,frame_ms
0,6.8751,2.1077
1,4.1062,10.6506
2,4.0520,5.6169
3,4.5937,4.6909
4,4.7094,5.3684
5,5.9279,5.4443
6,3.5871,6.5380
7,4.1687,4.6709
8,4.8343,4.8567
9,6.6970,5.2885
10,3.6393,7.2664
11,4.2066,4.7595
12,4.6930,4.6529
13,5.8081,5.3532
14,4.2670,6.2546
15,4.7473,4.9855
16,4.7421,5.2951
17,6.0344,5.2551
18,4.7974,6.5413
19,4.8732,5.3946
20,4.5548,5.4969
21,4.1411,5.2947
22,4.4186,5.4637
23,4.4636,4.9357
24,5.3586,5.0555
25,4.9183,5.9235
26,4.7524,5.4047
27,6.5454,5.3519
28,4.0018,7.9107
29,4.2824,4.9782
30,4.6336,5.2356
31,4.5138,5.1327
32,4.6049,5.1184
33,4.4319,5.0637
34,4.6367,5.1263
35,4.1001,5.3566
36,3.9240,4.6759
37,3.4765,4.4388
38,3.7581,5.6298
39,4.0468,4.3819
40,4.5578,4.4460
41,4.9121,5.0567
42,4.4360,5.4261
43,4.4943,5.1561
44,3.9844,4.9933
45,3.8554,4.5209
46,3.8205,4.6955
47,3.7120,5.6266
48,3.9107,4.4048
49,4.9582,4.4703
50,4.3704,5.4720
51,4.4780,4.9450
52,5.6965,5.0107
53,4.3264,6.1163
54,3.9916,4.9463
55,3.7294,4.4971
56,3.7929,4.2739
57,3.3853,5.2868
58,4.3428,4.1975
59,4.2250,4.8554
60,4.1892,4.7320
61,3.6137,4.7139
62,3.6332,4.1438
63,4.0212,4.2794
64,4.6828,4.5244
65,4.4831,5.2488
66,5.9197,5.0401
67,4.3622,6.3496
68,4.3254,4.8324
69,3.7161,4.8001
70,3.7786,4.5285
71,3.9311,4.2667
72,4.6602,4.4983
73,4.6008,5.2612
74,4.4749,5.1486
75,4.5271,5.0582
76,4.0264,5.0536
77,3.9363,4.5935
78,3.5912,4.5052
79,3.4632,5.3419
80,4.1708,4.1946
81,4.6490,4.7588
82,4.3100,5.1478
83,3.8861,4.8343
84,3.7345,4.4180
85,3.5195,4.2585
86,4.5117,4.2728
87,6.1225,5.0425
88,4.0561,6.6170
89,4.6254,4.7860
90,4.3653,5.1419
91,4.4360,4.8853
92,4.4073,4.9810
93,3.8758,4.9228
94,3.8369,4.4300
95,4.2435,4.5905
96,4.5056,4.7398
97,4.7626,5.0865
98,5.3965,5.2361
99,4.2701,5.8852
100,4.2598,4.7816
101,4.2609,4.7392
102,3.6854,4.7464
103,3.4703,4.1579
104,4.0274,4.1010
105,4.3213,4.5931
106,4.4370,5.0062
107,5.8675,4.9849
108,4.5957,6.2652
109,4.2772,5.0943
110,3.7222,4.7565
111,3.4632,4.2027
112,4.0704,4.1309
113,4.3725,4.6230
114,4.4831,4.9030
115,4.4349,5.2529
116,3.9229,4.9600
117,3.4273,4.6438
118,3.8861,5.1340
119,4.2547,4.6656
120,5.5736,4.8923
121,3.9158,6.3728
122,4.7780,4.7187
123,5.6801,5.5097
124,4.0714,6.2544
125,5.9423,4.7258
126,3.8820,6.4440
127,5.1343,4.4390
128,5.4671,5.6230
129,4.0090,6.4036
130,4.4421,5.1132
131,5.7293,5.1772
132,3.9301,6.3257
133,5.1773,4.4341
134,5.9935,5.6882
135,3.9700,6.7374
136,5.1098,4.5208
137,5.8194,5.6306
138,4.0571,6.5314
139,5.9628,4.6030
140,4.0765,6.5502
141,4.9705,4.6243
142,6.0570,5.6087
143,4.0428,6.6416
144,4.9009,4.7232
145,5.7528,5.5011
146,4.1882,6.3879
147,6.1624,4.7757
148,3.9885,6.8332
149,5.7907,4.6736
150,3.5441,6.2656
151,5.4600,4.3610
152,3.7151,6.1222
153,4.9306,4.4269
154,5.7129,5.6087
155,4.0581,6.3134
156,5.6392,4.6697
157,4.6551,6.2450
158,5.7672,5.4100
159,3.9455,6.3477
160,6.1399,4.4544
161,3.9987,6.6840
162,4.8824,4.5633
163,5.6934,5.3973
164,4.0141,6.2578
165,4.9091,4.7891
166,6.1972,5.4969
167,4.0520,6.8392
168,6.2300,4.7262
169,3.9240,6.7901
170,4.8220,4.4320
171,4.5804,5.3894
172,5.8849,5.1276
173,4.7032,6.4118
174,4.4196,5.3303
175,4.6735,5.0299
176,6.1143,5.2278
177,3.9864,6.6668
178,4.6336,4.5615
179,4.6254,5.2159
180,5.5706,5.1734
181,4.5445,6.0991
182,4.5722,5.0845
183,5.8501,5.1377
184,4.6377,6.3487
185,4.5292,5.2572
186,3.9782,5.1041
187,4.0499,4.5744
188,3.7673,4.8925
189,3.8584,5.0039
190,5.5572,4.6267
191,3.7304,6.0911
192,4.0315,4.5411
193,5.0985,4.8149
194,5.7487,5.7917
195,4.0182,6.3227
196,4.5599,4.5260
197,6.0293,5.1128
198,4.3059,6.6044
199,4.8159,4.9260
200,6.1839,5.4118
201,4.0868,6.7323
202,5.6832,4.7932
203,4.0008,6.2476
204,4.7053,4.6689
205,6.0887,5.2884
206,4.0458,6.6866
207,4.7677,4.6444
208,6.0518,5.2998
209,4.1595,6.5105
210,4.6848,4.8637
211,6.2730,5.2439
212,3.9700,6.9533
213,4.5896,4.6830
214,6.0129,5.3852
215,3.9680,6.7085
216,5.0463,4.6261
217,5.6627,5.6880
218,3.9680,6.4330
219,5.1927,4.5545
220,5.8624,5.8362
221,4.2854,7.0074
222,3.7878,5.7078
223,5.5521,4.8584
224,3.9025,6.2093
225,4.1943,4.6027
226,5.8255,4.6515
227,4.0192,6.5600
228,4.8445,4.5744
229,5.7580,5.4836
230,4.0038,6.5642
231,5.0309,4.7193
232,6.1604,5.5329
233,3.9434,6.7630
234,4.9029,4.4739
235,5.7006,5.5020
236,3.7878,6.3659
237,5.0022,4.6258
238,5.9372,5.5761
239,3.9322,6.5228
240,5.9361,4.4924
241,4.0274,6.5774
242,4.8374,4.6116
243,5.7221,5.2800
244,3.9076,6.3034
245,4.7196,4.5684
246,5.8276,5.2560
247,4.3479,6.3188
248,4.7718,4.9315
249,5.9730,5.3688
250,4.5271,6.5520
251,4.7790,5.0912
252,6.1635,5.3312
253,4.2885,6.9504
254,4.6602,4.9063
255,6.1317,5.2122
256,4.0274,6.7514
257,4.9265,4.6427
258,5.8542,5.4977
259,3.9629,6.4792
260,6.2495,4.7211
261,3.9526,6.8161
262,4.8691,4.5908
263,5.4968,5.4289
264,4.0735,6.3552
265,4.8978,4.6044
266,5.6545,5.4241
267,3.7908,6.2875
268,4.4380,4.2606
269,4.4308,4.9317
270,4.2588,4.9620
271,3.7038,4.7029
272,3.3772,4.1850
273,4.5988,4.1352
274,4.2639,5.0569
275,4.2107,4.7987
276,4.2189,4.7258
277,3.5185,4.6784
278,3.3249,4.0287
279,4.2066,4.0615
280,4.1533,4.7052
281,3.7233,4.6257
282,3.4007,4.0694
283,3.9455,4.0872
284,4.1677,4.3848
285,4.1585,4.6746
286,3.7253,4.6772
287,3.5174,4.2025
288,4.0151,4.2087
289,4.1349,4.4437
290,4.1605,4.6661
291,3.7581,4.6679
292,3.5420,4.2427
293,3.8011,4.1342
294,4.0561,4.3219
295,4.3325,4.5955
296,3.6844,4.8556
297,3.3352,4.1277
298,3.7376,4.2128
299,4.2097,4.2471
300,3.9977,4.5578
301,3.5963,4.5384
302,3.3311,4.0843
303,4.2803,4.0860
304,4.1513,4.7547
305,4.1390,4.6749
306,3.6710,4.6132
307,3.4284,4.1827
308,4.4001,4.2184
309,4.2056,4.8780
310,4.2445,4.8429
311,3.7253,4.8683
312,3.5236,4.1310
