# label=coherent_vis0_bs128_cw2_n10000,mode=coherent,N=10000,vis=0,steps=3000,dt=0.2
step,step_ms,frame_ms
0,0.4372,1.9374
1,0.3994,6.2260
2,0.7178,3.2316
3,0.5939,1.3813
4,0.3666,2.0983
5,0.3471,0.8906
6,0.4547,0.8593
7,0.1413,1.0165
8,0.1393,0.8271
9,0.1403,0.7734
10,0.3256,0.5761
11,0.3553,0.8311
12,0.5407,0.9402
13,0.1772,1.3832
14,0.1372,0.5647
15,0.1341,0.8070
16,0.1382,0.8409
17,0.1444,0.6374
18,0.1475,0.7397
19,0.3850,0.7247
20,0.1444,1.0386
21,0.1833,0.5812
22,0.1536,1.8555
23,0.1341,1.1136
24,0.1290,0.5425
25,0.2099,0.5717
26,0.2437,1.0619
27,0.1464,0.7719
28,0.1372,0.9910
29,0.1434,0.6013
30,0.3625,0.6280
31,0.1341,0.8106
32,0.1485,0.5712
33,0.3195,0.6519
34,0.5755,0.8104
35,0.3041,1.8504
36,0.3635,0.9247
37,0.1321,0.8651
38,0.6984,0.5320
39,0.7444,1.2009
40,0.1526,1.8852
41,0.1413,1.1453
42,0.1546,0.5260
43,0.1495,0.6031
44,0.3031,0.7100
45,0.1311,0.8518
46,0.1884,0.6659
47,0.1352,0.7835
48,0.1556,0.7087
49,0.1690,0.7683
50,0.1372,0.8430
51,0.3574,0.7932
52,0.1372,0.9924
53,0.5366,0.6063
54,0.1372,1.9480
55,0.1413,1.1458
56,0.1638,1.3341
57,0.2273,1.5145
58,0.3092,1.6658
59,0.7516,1.4946
60,0.3236,1.7133
61,0.3789,1.3352
62,0.1556,1.0389
63,0.3758,0.9499
64,0.4833,0.8187
65,1.2114,1.2740
66,0.6636,2.3231
67,0.1382,1.2958
68,0.6185,0.7015
69,0.1454,1.2719
70,0.1423,1.1298
71,0.3697,0.7749
72,0.1444,1.0788
73,0.1403,0.7378
74,0.2980,0.7651
75,0.3195,1.0831
76,0.1495,1.5710
77,0.1618,0.7503
78,0.3983,0.7580
79,0.8049,0.9917
80,1.1336,1.4301
81,0.1751,2.1175
82,0.1321,1.1415
83,0.1341,0.6594
84,0.2949,0.5059
85,0.1720,1.0980
86,0.1382,1.1535
87,0.1352,0.5171
88,0.3635,0.5954
89,0.4577,1.0016
90,0.7752,0.9395
91,0.5939,1.2196
92,0.1567,1.1917
93,0.1403,0.8235
94,0.1280,0.5076
95,0.1516,0.6614
96,0.1403,0.5927
97,0.4321,0.7427
98,0.9267,0.8234
99,0.7281,1.4313
100,0.3779,2.0042
101,0.1331,0.9080
102,0.3359,0.6021
103,0.1485,0.9993
104,0.1403,0.5091
105,0.1444,0.9744
106,0.1403,0.5654
107,0.1567,0.5708
108,0.1444,0.6320
109,0.1946,0.5840
110,0.3185,0.6323
111,0.1731,0.8676
112,0.3072,0.6737
113,0.3697,1.2003
114,0.1372,0.7865
115,0.1475,0.5931
116,0.1362,0.6405
117,0.4516,0.5476
118,0.7926,0.9590
119,0.5827,1.3115
120,0.1526,2.2018
121,0.1362,0.7256
122,0.3041,0.4896
123,0.5028,0.9306
124,0.2949,1.0290
125,0.1362,0.8812
126,0.5274,0.5616
127,0.3031,0.9980
128,0.7475,0.7302
129,1.3251,1.2842
130,0.3144,1.8194
131,0.1352,1.3492
132,0.2929,0.5609
133,0.2867,0.7850
134,0.1413,0.7262
135,0.6441,0.6083
136,0.1362,1.6551
137,0.1403,0.5537
138,0.1393,0.8542
139,0.1413,0.5599
140,0.7363,0.7365
141,0.1372,1.2337
142,0.1669,0.5667
143,0.1638,0.9884
144,0.1690,0.6362
145,0.1720,0.5966
146,0.1587,0.8790
147,0.3932,1.1834
148,0.6492,1.0477
149,0.1772,2.1601
150,0.1597,0.8105
151,0.1516,0.5598
152,0.3697,0.5327
153,0.5315,0.9031
154,0.1505,1.2911
155,0.1311,0.6679
156,0.3779,0.5428
157,0.1464,0.7321
158,0.3011,0.6025
159,0.3195,0.8452
160,0.1546,0.8798
161,0.1403,0.6277
162,0.1372,0.7996
163,0.1362,0.5637
164,0.1423,0.5843
165,0.1393,0.6344
166,0.1382,0.5494
167,0.5089,0.5829
168,1.2882,1.0209
169,0.3113,1.7179
170,0.1505,1.3676
171,0.1505,0.5836
172,0.1475,0.6252
173,0.1382,0.5518
174,0.1382,0.8150
175,0.1423,0.8635
176,0.1495,0.8794
177,0.1403,0.5563
178,0.1393,0.5900
179,0.1393,0.5728
180,0.1403,0.5674
181,0.2611,0.5997
182,0.1495,0.6850
183,0.1413,0.4850
184,0.1464,1.5428
185,0.1413,0.9330
186,0.1423,0.5838
187,0.1372,0.5767
188,0.3635,0.5878
189,0.4915,0.8146
190,0.1454,0.9363
191,0.1403,0.4859
192,0.1434,0.5992
193,0.1403,0.6182
194,0.1382,0.5820
195,0.1423,0.5752
196,0.1382,0.5912
197,0.1731,0.5872
198,0.1608,0.7749
199,0.1413,0.8918
200,0.1434,0.6161
201,0.3062,0.6033
202,0.2929,0.7891
203,0.1403,0.7296
204,0.1679,0.5925
205,0.1444,0.6495
206,0.1495,0.7894
207,0.1597,0.5970
208,0.1341,0.9616
209,0.3389,0.4867
210,0.1434,0.7051
211,0.1403,0.5754
212,0.3011,0.5906
213,0.1485,0.8087
214,1.1356,0.7832
215,0.1413,1.7631
216,0.1495,1.1063
217,0.3062,0.6228
218,0.2939,0.7989
219,0.1300,1.2147
