# label=coherent_vis0_bs128_cw2_n500000,mode=coherent,N=500000,vis=0,steps=3000,dt=0.2
step,step_ms,frame_ms
0,1.5759,1.8892
1,1.5544,4.7949
2,1.4418,2.9519
3,1.4469,1.8859
4,1.6189,1.9173
5,1.3660,2.0689
6,1.8053,1.8426
7,1.1940,2.3047
8,1.3906,2.1894
9,1.2227,1.8321
10,1.1356,1.8382
11,1.6159,3.0090
12,1.2595,2.2361
13,1.3476,1.7996
14,1.6005,1.8325
15,1.4346,2.5358
16,1.3752,1.8488
17,1.1520,1.8519
18,1.1561,1.7486
19,1.3732,1.9122
20,1.4500,1.8435
21,1.2564,2.1602
22,1.2749,1.7347
23,1.5831,1.7381
24,1.1868,2.0971
25,1.3609,1.8717
26,1.5729,1.8118
27,1.3384,2.1259
28,1.4090,2.0393
29,1.7142,1.9207
30,1.3599,2.2376
31,1.4838,1.7420
32,1.1295,1.9718
33,1.4694,3.3772
34,1.1131,1.9395
35,1.3486,1.9190
36,1.5401,1.7575
37,1.1141,2.0197
38,1.3251,1.8945
39,1.4879,1.7594
40,1.1039,2.0660
41,1.3117,1.8366
42,1.4868,1.7927
43,1.0957,1.9686
44,1.2206,1.8091
45,1.4254,1.6681
46,1.1162,1.9257
47,1.2595,1.7895
48,1.6036,1.7048
49,1.1459,2.1071
50,1.3507,1.9258
51,1.5155,1.8227
52,1.2626,2.0741
53,1.4961,1.8592
54,1.3210,2.3112
55,1.1827,1.8593
56,1.2585,1.8056
57,1.4807,1.8273
58,1.1008,2.0611
59,1.5370,2.8563
60,1.1203,1.9946
61,1.3681,1.7787
62,1.4981,1.8257
63,1.0906,1.9864
64,1.3036,1.7324
65,1.3926,1.7485
66,1.0824,1.8548
67,1.2534,1.9259
68,1.5503,1.6935
69,1.0957,1.9932
70,1.3681,1.7815
71,1.4735,1.8250
72,1.1684,1.9440
73,1.2513,1.8901
74,1.8985,1.7696
75,1.0988,2.3755
76,1.3804,1.7924
77,1.1766,1.8275
78,1.2913,1.8975
79,1.4080,1.8994
80,1.3885,2.0788
81,1.4131,1.9791
82,1.3332,1.9706
83,2.0685,1.7690
84,1.1356,2.5969
85,1.4797,2.3748
86,1.0947,1.9370
87,1.2575,1.7537
88,1.2943,1.7187
89,1.2564,2.0787
90,1.3117,1.7383
91,1.6087,1.8558
92,1.0844,2.1117
93,1.2503,1.7614
94,1.5852,1.7035
95,1.4008,2.1647
96,1.2780,1.7578
97,1.5124,1.7346
98,1.3148,2.0508
99,1.2349,1.8341
100,1.5196,2.0176
101,1.2677,1.9644
102,1.3373,1.7601
103,1.5811,1.8289
104,1.2913,2.0691
105,1.3906,1.7494
106,1.9251,1.9700
107,1.4500,2.3561
108,1.6835,2.1870
109,1.0957,2.0912
110,1.3353,2.9703
111,1.4459,2.0135
112,1.3230,2.0428
113,1.4889,1.8415
114,1.1039,1.9616
115,1.3107,2.9551
