# label=scattered_vis0_bs128_cw1_n50000,mode=scattered,N=50000,vis=0,steps=3000,dt=0.2
step,step_ms,frame_ms
0,0.9871,1.4553
1,0.6328,3.1485
2,0.7301,1.7433
3,0.5960,2.3742
4,0.6963,1.1457
5,0.3830,1.9179
6,0.4690,1.1617
7,0.8049,1.0063
8,0.7363,1.2218
9,0.4690,1.5944
10,0.3850,0.8726
11,0.4762,0.8885
12,0.7393,0.9730
13,0.3482,1.2076
14,0.5294,1.2057
15,0.5407,0.9510
16,0.4506,1.0188
17,0.8223,0.8868
18,0.9421,1.3480
19,0.3369,2.1708
20,0.4915,1.0669
21,0.5816,1.3746
22,0.9708,1.1877
23,0.5530,1.4668
24,0.6021,1.0908
25,0.6216,1.1996
26,0.7619,1.1021
27,0.9062,1.3325
28,0.4588,2.1421
29,0.5745,0.9217
30,0.3901,1.1470
31,0.4372,0.9980
32,0.6001,1.2948
33,0.5530,0.9776
34,0.4884,1.0705
35,0.4045,0.9022
36,0.6646,1.0463
37,0.5693,1.7487
38,0.5530,1.0316
39,0.8612,1.2354
40,0.7711,1.3278
41,0.5059,1.4348
42,0.6502,1.0891
43,0.5458,1.2321
44,0.6605,1.2514
45,0.7997,1.6872
46,0.5857,1.9749
47,1.1643,1.0131
48,0.7434,1.6895
49,0.4526,1.4520
50,0.6164,0.9829
51,0.5028,1.0984
52,0.6308,1.2632
53,0.9800,1.0987
54,0.4516,2.1916
55,0.5468,0.9882
56,0.7997,1.3239
57,0.5755,1.3922
58,0.5581,1.0979
59,0.4884,1.0456
60,0.8407,0.9760
61,0.8806,1.3223
62,0.3738,1.4389
63,0.4925,1.1962
64,0.5478,0.9654
65,0.6707,1.0461
66,0.8643,1.2350
67,0.7414,2.7197
68,0.8376,1.1688
69,0.8274,1.3270
70,0.4925,1.3244
71,0.4536,1.0592
72,0.7250,0.9530
73,0.8161,1.2214
74,0.6185,1.2581
75,0.4803,1.4511
76,0.5140,0.9723
77,0.4506,0.8773
78,0.6410,0.9001
79,0.9288,1.0955
80,0.7721,1.4149
81,0.4526,1.9677
82,0.7731,0.9040
83,0.7270,1.2217
84,0.5550,1.2983
85,0.3871,0.9459
86,0.4936,0.8914
87,0.4413,0.8969
88,0.4229,0.9143
89,0.3256,1.0775
90,0.3676,1.9805
91,0.3697,1.4941
92,0.5161,0.8159
93,0.7762,1.0577
94,0.3942,1.2378
95,0.3840,0.8392
96,0.4588,0.8264
97,0.3758,0.8910
98,0.3533,0.8124
99,0.3471,1.0577
100,0.6666,1.2717
101,0.5499,1.0378
102,0.6267,1.0584
103,0.8100,1.0626
104,0.3850,1.4066
105,0.4137,1.9266
106,0.6216,1.5994
107,0.4239,1.1261
108,0.3779,0.9617
109,0.5519,1.1712
110,0.6984,1.1546
111,0.8161,1.1855
112,0.7537,1.2818
113,0.4608,1.1707
114,0.5550,1.3755
115,0.6769,1.0035
116,0.7608,1.1641
117,0.7199,1.2102
118,0.3942,2.0686
119,0.5581,1.6971
120,0.4700,1.2381
121,0.4475,0.8811
122,0.6134,1.2026
123,0.5059,1.1146
124,0.4536,0.9906
125,0.5509,0.9366
